plate_name,plate_image,file_name
Better the Farm,https://dojmt.gov/wp-content/uploads/Better-the-Farm-Thumbnail.jpg,imgs/better_the_farm.jpg
Department of Livestock – Livestock Loss Board,https://dojmt.gov/wp-content/uploads/plateLivestockLossBoardThumb.jpg,imgs/department_of_livestock_livestock_loss_board.jpg
Montana Agricultural Heritage Foundation,https://dojmt.gov/wp-content/uploads/montana-ag-thumb.jpg,imgs/montana_agricultural_heritage_foundation.jpg
Montana Farm Bureau Foundation,https://dojmt.gov/wp-content/uploads/platemontanafarmbureauThumb.jpg,imgs/montana_farm_bureau_foundation.jpg
Montana Grains Foundation,https://dojmt.gov/wp-content/uploads/plateMontanaGrainGrowersAssociationThumb.jpg,imgs/montana_grains_foundation.jpg
The Montana Land Reliance,https://dojmt.gov/wp-content/uploads/The-Montana-Land-Reliance-Cropped-Thumbnail.jpg,imgs/the_montana_land_reliance.jpg
"Montana Stockgrowers Association – Research, Education Endowment Foundation",https://dojmt.gov/wp-content/uploads/Reef-Montana-Stockgrowers-Full.jpg,imgs/montana_stockgrowers_association_research_education_endowment_foundation.jpg
Montana Timber Legacy Foundation,https://dojmt.gov/wp-content/uploads/platemontanaloggingassociationThumb.jpg,imgs/montana_timber_legacy_foundation.jpg
Montana Weed Control Association,https://dojmt.gov/wp-content/uploads/platemontanaweedcontrolassociationThumb.jpg,imgs/montana_weed_control_association.jpg
Original Montana,https://dojmt.gov/wp-content/uploads/plate-noimage-thumbs.jpg,imgs/original_montana.jpg
Pioneer,https://dojmt.gov/wp-content/uploads/pioneer-montanaThumb.jpg,imgs/pioneer.jpg
Vintage,https://dojmt.gov/wp-content/uploads/platevintageThumb.jpg,imgs/vintage.jpg
Eureka Montana Quilt Show,https://dojmt.gov/wp-content/uploads/plateeurekamontanaquiltshowThumb.jpg,imgs/eureka_montana_quilt_show.jpg
International Choral Festival,https://dojmt.gov/wp-content/uploads/International-Choral-Festival-Cropped-Thumbnail.jpg,imgs/international_choral_festival.jpg
Montana Association of Symphony Orchestras,https://dojmt.gov/wp-content/uploads/platemontanasymphonyThumb.jpg,imgs/montana_association_of_symphony_orchestras.jpg
Carroll College,https://dojmt.gov/wp-content/uploads/platecarrolcollegeThumb.jpg,imgs/carroll_college.jpg
Dawson Community College,https://dojmt.gov/wp-content/uploads/Dawson-Community-College-Cropped-Thumbnail.jpg,imgs/dawson_community_college.jpg
Flathead Valley Community College,https://dojmt.gov/wp-content/uploads/Flatheadvalleycommcollege-Cropped-Thumbnail.jpg,imgs/flathead_valley_community_college.jpg
Fort Belknap College,https://dojmt.gov/wp-content/uploads/platefortbelknapThumb.jpg,imgs/fort_belknap_college.jpg
Great Falls College Montana State University,https://dojmt.gov/wp-content/uploads/plategreatfallscollegemsusmall-thumb1.jpg,imgs/great_falls_college_montana_state_university.jpg
Helena College,https://dojmt.gov/wp-content/uploads/Helena-College-Thumbnail-v3.jpg,imgs/helena_college.jpg
Miles Community College,https://dojmt.gov/wp-content/uploads/platemilescitycommunitycollegeThumb.jpg,imgs/miles_community_college.jpg
Montana State University Billings,https://dojmt.gov/wp-content/uploads/MSU-Billings-2023-Redesign-thumbnail.jpg,imgs/montana_state_university_billings.jpg
